Date,JPM,BAC,GS,IBM,F,XOM,GM,T
1/1/2019,68.023,71.503,105.846,88.021,#N/A N/A,128.552,#N/A N/A,83.271
1/2/2019,70.217,73.79,110.735,87.782,#N/A N/A,130.161,#N/A N/A,82.401
1/3/2019,77.872,82.851,131.173,88.973,#N/A N/A,131.043,#N/A N/A,83.736
1/4/2019,72.716,80.207,121.182,87.434,#N/A N/A,126.885,#N/A N/A,82.429
1/7/2019,69.651,75.713,114.352,82.497,#N/A N/A,119.671,#N/A N/A,77.853
1/8/2019,67.013,72.805,107.065,80.131,#N/A N/A,116.948,#N/A N/A,76.04
1/9/2019,66.559,71.842,105.298,78.455,#N/A N/A,112.385,#N/A N/A,74.579
1/10/2019,67.519,73.533,107.319,77.781,#N/A N/A,109.62,#N/A N/A,74
1/11/2019,67.889,73.814,108.542,77.124,#N/A N/A,109.693,#N/A N/A,74.197
1/14/2019,68.834,74.613,113.224,77.457,#N/A N/A,110.956,#N/A N/A,74.401
1/15/2019,68.227,73.202,110.075,78.053,#N/A N/A,110.301,#N/A N/A,74.756
1/16/2019,64.579,68.436,101.67,76.18,#N/A N/A,107.738,#N/A N/A,73.413
1/17/2019,63.188,64.693,96.833,74.901,#N/A N/A,106.005,#N/A N/A,72.942
1/18/2019,61.062,62.866,96.365,73.218,#N/A N/A,104.452,#N/A N/A,72.482
1/21/2019,60.259,61.528,92.882,72.687,#N/A N/A,103.126,#N/A N/A,71.574
1/22/2019,61.311,62.395,94.439,72.476,#N/A N/A,103.126,#N/A N/A,71.574
1/23/2019,60.631,62.222,94.99,69.766,#N/A N/A,105.678,#N/A N/A,72.043
1/24/2019,60.418,61.396,92.529,66.225,#N/A N/A,106.335,#N/A N/A,71.977
1/25/2019,59.672,60.513,90.016,64.024,#N/A N/A,105.86,#N/A N/A,71.581
1/28/2019,59.331,60.698,91.065,63.258,#N/A N/A,104.174,#N/A N/A,70.404
1/29/2019,58.953,60.727,91.085,63.523,#N/A N/A,104.786,#N/A N/A,70.623
1/30/2019,57.224,58.445,88.363,62.661,#N/A N/A,102.601,#N/A N/A,69.862
1/31/2019,54.61,55.528,84.043,60.876,#N/A N/A,98.799,#N/A N/A,68.58
2/1/2019,53.692,54.917,84.199,59.325,#N/A N/A,96.16,#N/A N/A,67.541
2/4/2019,52.134,53.924,83.791,56.523,#N/A N/A,93.69,#N/A N/A,66.879
2/5/2019,51.681,53.687,82.016,55.797,#N/A N/A,93.003,#N/A N/A,65.958
2/6/2019,52.893,53.968,83.268,53.534,#N/A N/A,92.196,#N/A N/A,65.449
2/7/2019,54.474,56.792,86.715,53.457,#N/A N/A,94.564,#N/A N/A,66.85
2/8/2019,55.695,57.982,89.031,53.125,#N/A N/A,99.776,#N/A N/A,67.514
2/11/2019,55.281,57.773,88.453,53.035,#N/A N/A,101.372,#N/A N/A,67.21
2/12/2019,55.195,57.156,86.576,51.451,#N/A N/A,99.702,#N/A N/A,66.454
2/13/2019,54.171,55.526,83.245,51.188,#N/A N/A,98.194,#N/A N/A,64.678
2/14/2019,53.526,55.314,85.707,50.366,#N/A N/A,95.466,#N/A N/A,64.299
2/15/2019,54.202,55.863,85.099,50.203,#N/A N/A,97.246,#N/A N/A,64.23
2/18/2019,54.082,55.962,85.148,49.517,#N/A N/A,94.203,#N/A N/A,63.443
2/19/2019,53.73,56.31,85.111,48.838,#N/A N/A,93.059,#N/A N/A,63.024
2/20/2019,53.852,55.743,86.2,47.592,#N/A N/A,91.284,#N/A N/A,62.8
2/21/2019,54.748,56.639,88.348,46.928,#N/A N/A,90.947,#N/A N/A,62.678
2/22/2019,54.462,56.33,88.371,47.155,#N/A N/A,91.177,#N/A N/A,62.889
2/25/2019,53.733,55.887,87.488,45.397,#N/A N/A,89.327,#N/A N/A,61.717
2/26/2019,52.613,54.629,87.293,45.317,#N/A N/A,87.675,#N/A N/A,62.318
2/27/2019,52.893,53.149,85.053,44.895,#N/A N/A,86.74,#N/A N/A,62.304
2/28/2019,51.691,52.358,83.611,45.815,#N/A N/A,85.195,#N/A N/A,62.428
3/1/2019,51.095,50.98,82.633,45.507,#N/A N/A,84.237,#N/A N/A,62.232
3/4/2019,50.59,51.084,81.731,46.301,#N/A N/A,84.199,#N/A N/A,61.882
3/5/2019,50.309,51.594,82.152,45.316,#N/A N/A,83.717,#N/A N/A,62.407
3/6/2019,50.591,51.949,82.468,45.375,#N/A N/A,84.76,#N/A N/A,63.102
3/7/2019,51.568,53.327,84.129,45.98,#N/A N/A,86.434,#N/A N/A,64.145
3/8/2019,53.697,53.863,92.393,47.718,#N/A N/A,89.486,#N/A N/A,65.721
3/11/2019,52.652,52.142,93.233,47.718,#N/A N/A,88.744,#N/A N/A,64.943
3/12/2019,52.364,53.209,88.847,47.718,#N/A N/A,86.819,#N/A N/A,63.572
3/13/2019,51.6,52.039,88.585,47.718,#N/A N/A,84.592,#N/A N/A,62.636
3/14/2019,51.903,52.709,89.656,47.718,#N/A N/A,83.138,#N/A N/A,62.369
3/15/2019,51.112,52.519,86.43,47.718,#N/A N/A,83.771,#N/A N/A,63.564
3/18/2019,50.296,51.294,83.405,47.718,#N/A N/A,83.322,#N/A N/A,63.552
3/19/2019,49.273,50.256,82.43,47.718,#N/A N/A,82.352,#N/A N/A,63.058
3/20/2019,52.683,53.013,85.831,47.718,#N/A N/A,89.516,#N/A N/A,71.825
3/21/2019,51.669,52.695,85.5,47.718,#N/A N/A,88.624,#N/A N/A,70.405
3/22/2019,52.898,53.715,87.026,47.718,#N/A N/A,89.407,#N/A N/A,71.004
3/25/2019,53.866,54.722,88.181,47.718,#N/A N/A,90.932,#N/A N/A,71.51
3/26/2019,52.524,53.902,86.053,47.718,#N/A N/A,89.725,#N/A N/A,69.656
3/27/2019,52.863,54.294,86.387,47.718,#N/A N/A,89.772,#N/A N/A,70.915
3/28/2019,52.466,54.236,86.277,47.718,#N/A N/A,89.656,#N/A N/A,70.61
3/29/2019,52.119,53.03,85.118,47.718,#N/A N/A,88.731,#N/A N/A,73.611
4/1/2019,50.688,52.084,83.197,47.718,#N/A N/A,85.621,#N/A N/A,71.153
4/2/2019,50.264,50.823,83.183,47.718,#N/A N/A,84.415,#N/A N/A,70.031
4/3/2019,48.947,49.562,81.343,47.718,#N/A N/A,83.205,#N/A N/A,68.99
4/4/2019,48.258,50.218,80.902,47.718,#N/A N/A,83.656,#N/A N/A,69.515
4/5/2019,47.679,48.195,79.83,47.718,#N/A N/A,82.751,#N/A N/A,68.501
4/8/2019,47.362,47.994,79.685,47.718,#N/A N/A,82.684,#N/A N/A,68.643
4/9/2019,47.975,49.028,80.305,47.718,#N/A N/A,83.043,#N/A N/A,68.74
4/10/2019,47.421,48.541,80.605,47.718,#N/A N/A,82.64,#N/A N/A,68.263
4/11/2019,47.65,48.194,80.416,47.718,#N/A N/A,82.072,#N/A N/A,66.909
4/12/2019,45.96,47.751,78.734,47.718,#N/A N/A,75.199,#N/A N/A,65.216
4/15/2019,43.45,44.84,77.564,47.718,#N/A N/A,75.096,#N/A N/A,66.531
4/16/2019,43.416,45.908,77.252,47.718,#N/A N/A,74.618,#N/A N/A,66.858
4/17/2019,43.48,45.008,74.814,47.718,#N/A N/A,74.929,#N/A N/A,66.924
4/18/2019,43.582,45.281,74.632,47.718,#N/A N/A,75.647,#N/A N/A,67.147
4/19/2019,43.603,45.281,75.08,47.718,#N/A N/A,75.681,#N/A N/A,67.253
4/22/2019,44.834,46.319,75.675,47.718,#N/A N/A,75.105,#N/A N/A,67.691
4/23/2019,45.529,46.644,76.172,47.718,#N/A N/A,74.858,#N/A N/A,67.035
4/24/2019,45.758,47.347,75.08,47.718,#N/A N/A,74.829,#N/A N/A,67.523
4/25/2019,45.479,48.134,75.973,47.718,#N/A N/A,75.172,#N/A N/A,67.953
4/26/2019,46.617,48.301,76.365,47.718,#N/A N/A,76.244,#N/A N/A,67.596
4/29/2019,45.403,48.447,76.787,47.718,#N/A N/A,75.533,#N/A N/A,66.405
4/30/2019,44.38,47.272,75.019,47.718,#N/A N/A,75.709,#N/A N/A,66.902
5/1/2019,45.084,48.446,75.85,47.718,#N/A N/A,76.229,#N/A N/A,67.352
5/2/2019,45.269,49.174,76.257,47.718,#N/A N/A,78.034,#N/A N/A,68.502
5/3/2019,44.931,47.376,75.172,47.718,#N/A N/A,78.466,#N/A N/A,68.547
5/6/2019,46.294,48.845,77.25,47.718,#N/A N/A,78.981,#N/A N/A,69.151
5/7/2019,48.218,52.513,78.063,47.718,#N/A N/A,80.36,#N/A N/A,70.119
5/8/2019,48.442,51.345,76.656,47.718,#N/A N/A,81.301,#N/A N/A,70.489
5/9/2019,48.79,51.97,76.578,47.718,#N/A N/A,83.545,#N/A N/A,71.611
5/10/2019,47.965,51.549,75.902,47.718,#N/A N/A,83.884,#N/A N/A,72.341
5/13/2019,50.196,54.837,78.654,47.718,#N/A N/A,85.617,#N/A N/A,72.344
5/14/2019,48.805,50.974,75.769,47.718,#N/A N/A,98.614,#N/A N/A,72.262
5/15/2019,47.898,51.734,76.551,47.718,#N/A N/A,98.324,#N/A N/A,71.913
5/16/2019,45.954,49.012,70.94,47.718,#N/A N/A,97.465,#N/A N/A,71.077
5/17/2019,45.881,49.917,70.103,47.718,#N/A N/A,104.199,#N/A N/A,71.306
5/20/2019,45.529,50.852,70.224,47.718,#N/A N/A,97.304,#N/A N/A,72.165
5/21/2019,46.305,50.701,70.726,47.718,#N/A N/A,97.279,#N/A N/A,71.695
5/22/2019,46.632,51.95,71.787,47.718,#N/A N/A,98.695,#N/A N/A,71.846
5/23/2019,48.555,51.95,72.369,47.718,#N/A N/A,103.739,#N/A N/A,72.99
5/24/2019,48.717,51.95,72.324,47.718,#N/A N/A,111.726,#N/A N/A,72.569
5/27/2019,48.543,51.95,72.359,47.718,#N/A N/A,111.105,#N/A N/A,72.106
5/28/2019,50.463,55.627,76.355,47.718,#N/A N/A,112.833,#N/A N/A,72.425
5/29/2019,51.27,60.18,79.709,47.718,#N/A N/A,117.005,#N/A N/A,74.328
5/30/2019,53.128,60.402,80.024,47.718,#N/A N/A,117.298,#N/A N/A,73.419
5/31/2019,54.134,63.438,82.503,47.718,#N/A N/A,121.736,#N/A N/A,74.529
6/3/2019,52.811,61.374,81.487,47.718,#N/A N/A,122.56,#N/A N/A,74.217
6/4/2019,50.096,57.048,78.818,47.718,#N/A N/A,119.73,#N/A N/A,72.088
6/5/2019,49.267,54.911,77.619,47.718,#N/A N/A,118.888,#N/A N/A,71.132
6/6/2019,48.98,54.26,76.139,47.718,#N/A N/A,120.336,#N/A N/A,70.079
6/7/2019,49.16,54.67,75.17,47.718,#N/A N/A,118.236,#N/A N/A,69.215
6/10/2019,45.698,52.508,70.918,47.718,#N/A N/A,114.762,#N/A N/A,67.528
6/11/2019,44.767,52.578,71.338,47.718,#N/A N/A,114.24,#N/A N/A,67.046
6/12/2019,44.378,53.348,71.622,47.718,#N/A N/A,116.422,#N/A N/A,67.364
