Date,CDX.IG,CDX.HY,CDX.EM
1/2/2020,44.155,274.642,175.379
1/3/2020,45.835,280.752,181.875
1/6/2020,46.049,280.888,180.576
1/7/2020,46.665,283.981,182.861
1/8/2020,45.113,280.907,179.581
1/9/2020,43.844,276.717,179.276
1/10/2020,44.195,278.73,180.54
1/13/2020,44.133,278.612,180.668
1/14/2020,44.716,280.957,182.213
1/15/2020,44.715,281.826,179.926
1/16/2020,44.054,279.581,177.128
1/17/2020,44.053,278.559,178.557
1/20/2020,44.053,278.559,178.557
1/21/2020,45.763,284.546,184.274
1/22/2020,45.071,284.624,186.35
1/23/2020,46.02,289.708,188.699
1/24/2020,47.025,295.412,192.987
1/27/2020,49.308,309.661,200.892
1/28/2020,46.646,296.834,192.441
1/29/2020,48.016,302.407,190.809
1/30/2020,47.535,297.351,193.681
1/31/2020,50.155,304.934,197.43
2/3/2020,50.075,306.075,194.424
2/4/2020,47.061,293.967,186.959
2/5/2020,44.855,283.314,184.105
2/6/2020,45.335,284.665,185.781
2/7/2020,46.129,290.097,190.835
2/10/2020,45.271,287.748,193.661
2/11/2020,44.834,283.851,192.887
2/12/2020,43.81,280.343,191.156
2/13/2020,43.75,281.128,194.531
2/14/2020,44.266,284.339,188.925
2/17/2020,44.266,284.339,188.925
2/18/2020,44.674,287.935,190.786
2/19/2020,44.518,286.955,191.803
2/20/2020,45.356,288.724,195.098
2/21/2020,46.546,294.801,195.554
2/24/2020,53.071,326.43,204.348
2/25/2020,55.409,338.51,214
2/26/2020,57.685,344.184,214.678
2/27/2020,64.581,373.115,230.037
2/28/2020,66.478,369.607,254.734
3/2/2020,64.6,364.881,230.62
3/3/2020,71.326,387.049,233.291
3/4/2020,65.835,368.518,222.781
3/5/2020,73.253,407.458,244.125
3/6/2020,83.157,442.611,268.884
3/9/2020,110.94,551,337.91
3/10/2020,106.75,536.143,309.076
3/11/2020,117.418,592.905,343.52
3/12/2020,138.875,685.36,404.843
3/13/2020,107.488,560.108,358.647
3/16/2020,124.226,672.889,418.404
3/17/2020,123.233,648.084,385.062
3/18/2020,140.969,727.297,464.295
3/19/2020,141.838,783.322,440.868
3/20/2020,151.798,849.958,412.737
3/23/2020,121.563,871.112,419.704
3/24/2020,107.974,717.175,347.655
3/25/2020,103.168,657.451,302.429
3/26/2020,96.658,570.711,293.752
3/27/2020,111.889,623.208,339.186
3/30/2020,107.875,618.124,351.012
3/31/2020,113.051,656.92,352.259
4/1/2020,126.144,735.167,385.887
4/2/2020,123.313,743.623,361.395
4/3/2020,127.55,774.193,388.39
4/6/2020,116.969,699.224,366.605
4/7/2020,112.493,685.241,347.304
4/8/2020,104.886,616.577,338.766
4/9/2020,81.849,533.8,296.358
4/10/2020,81.849,533.8,296.358
4/13/2020,83.14,549.648,306.015
4/14/2020,82.608,558.47,313.305
4/15/2020,87.416,603.733,342.245
4/16/2020,87.928,603.927,351.641
4/17/2020,86.968,588.301,342.003
4/20/2020,93.474,644.782,345.855
4/21/2020,98.063,669.153,362.836
4/22/2020,94.481,658.678,355.901
4/23/2020,93.689,659.913,356.837
4/24/2020,94.144,674.462,366.136
4/27/2020,93.168,662.688,365.291
4/28/2020,91.781,658.382,363.499
4/29/2020,86.885,627.579,336.853
4/30/2020,86.979,625.663,331.916
5/1/2020,90.4,651.549,349.792
5/4/2020,90.896,661.352,345.638
5/5/2020,90.065,655.138,339.96
5/6/2020,93.224,677.924,351.465
5/7/2020,92.169,643.767,343.789
5/8/2020,90.98,633.806,333.474
5/11/2020,92.61,640.491,328.884
5/12/2020,93.303,644.502,330.875
5/13/2020,96.709,675.619,343.795
