Date,JPM US Equity,BAC US Equity,GS US Equity,IBM US Equity,F US Equity,XOM CorpTicker,GM US Equity,T US Equity
1/1/2019,97.62,24.64,167.05,108.5735,7.65,#N/A N/A,33.45,21.5413
1/2/2019,99.31,24.96,172.03,110.0444,7.9,#N/A N/A,33.64,22.2961
1/3/2019,97.11,24.56,169.51,107.8476,7.78,#N/A N/A,32.25,22.3263
1/4/2019,100.69,25.58,175.05,112.0598,8.08,#N/A N/A,33.33,22.8999
1/7/2019,100.76,25.56,176.02,112.8526,8.29,#N/A N/A,34.36,23.315
1/8/2019,100.57,25.51,175.37,114.4573,8.37,#N/A N/A,34.81,23.6094
1/9/2019,100.4,25.76,176.47,115.2787,8.72,#N/A N/A,35.18,22.7188
1/10/2019,100.39,25.73,176,116.3294,8.67,#N/A N/A,34.73,22.9452
1/11/2019,99.91,26.03,176.93,116.0142,8.82,#N/A N/A,37.18,23.2999
1/14/2019,100.94,26.37,178.72,114.9922,8.99,#N/A N/A,37.66,23.1112
1/15/2019,101.68,26.55,179.91,116.2721,8.84,#N/A N/A,37.55,23.0961
1/16/2019,102.5,28.45,197.08,116.167,8.29,#N/A N/A,37.67,23.066
1/17/2019,102.92,28.99,199.09,116.7115,8.36,#N/A N/A,38.26,23.1263
1/18/2019,104.59,29.3,202.54,118.2684,8.58,#N/A N/A,38.61,23.3679
1/21/2019,104.59,29.3,202.54,118.2684,8.58,#N/A N/A,38.61,23.3679
1/22/2019,102.94,29.09,197.68,117.0267,8.5,#N/A N/A,38.15,23.0811
1/23/2019,102.68,28.92,196.9,126.9317,8.34,#N/A N/A,37.67,23.315
1/24/2019,102.74,29.08,197.8,126.5879,8.6,#N/A N/A,38.16,23.0961
1/25/2019,103.39,29.58,200.74,127.9633,8.86,#N/A N/A,38.64,23.1414
1/28/2019,103.88,29.63,199.72,128.2499,8.66,#N/A N/A,38.46,23.149
1/29/2019,104.17,29.39,200.5,128.3072,8.76,#N/A N/A,38.47,23.1716
1/30/2019,104.41,29.07,202.48,128.3549,8.71,#N/A N/A,39.09,22.1678
